 ID,PARAM,Date,Flow,SYM
04JD005,1,1968/01/01,4.64,B
04JD005,1,1968/01/02,4.59,B
04JD005,1,1968/01/03,4.47,B
04JD005,1,1968/01/04,4.42,B
04JD005,1,1968/01/05,4.36,B
04JD005,1,1968/01/06,4.3,B
04JD005,1,1968/01/07,4.28,B
04JD005,1,1968/01/08,4.22,B
04JD005,1,1968/01/09,4.16,B
04JD005,1,1968/01/10,4.13,B
04JD005,1,1968/01/11,4.05,B
04JD005,1,1968/01/12,3.99,B
04JD005,1,1968/01/13,3.94,B
04JD005,1,1968/01/14,3.88,B
04JD005,1,1968/01/15,3.82,B
04JD005,1,1968/01/16,3.77,B
04JD005,1,1968/01/17,3.71,B
04JD005,1,1968/01/18,3.65,B
04JD005,1,1968/01/19,3.6,B
04JD005,1,1968/01/20,3.54,B
04JD005,1,1968/01/21,3.48,B
04JD005,1,1968/01/22,3.43,B
04JD005,1,1968/01/23,3.4,B
04JD005,1,1968/01/24,3.37,B
04JD005,1,1968/01/25,3.34,B
04JD005,1,1968/01/26,3.31,B
04JD005,1,1968/01/27,3.26,B
04JD005,1,1968/01/28,3.2,B
04JD005,1,1968/01/29,3.14,B
04JD005,1,1968/01/30,3.06,B
04JD005,1,1968/01/31,3,B
04JD005,1,1968/02/01,2.94,B
04JD005,1,1968/02/02,2.92,B
04JD005,1,1968/02/03,2.89,B
04JD005,1,1968/02/04,2.86,B
04JD005,1,1968/02/05,2.83,B
04JD005,1,1968/02/06,2.78,B
04JD005,1,1968/02/07,2.75,B
04JD005,1,1968/02/08,2.72,B
04JD005,1,1968/02/09,2.69,B
04JD005,1,1968/02/10,2.63,B
04JD005,1,1968/02/11,2.58,B
04JD005,1,1968/02/12,2.55,B
04JD005,1,1968/02/13,2.52,B
04JD005,1,1968/02/14,2.49,B
04JD005,1,1968/02/15,2.46,B
04JD005,1,1968/02/16,2.44,B
04JD005,1,1968/02/17,2.41,B
04JD005,1,1968/02/18,2.38,B
04JD005,1,1968/02/19,2.35,B
04JD005,1,1968/02/20,2.32,B
04JD005,1,1968/02/21,2.29,B
04JD005,1,1968/02/22,2.27,B
04JD005,1,1968/02/23,2.24,B
04JD005,1,1968/02/24,2.21,B
04JD005,1,1968/02/25,2.18,B
04JD005,1,1968/02/26,2.15,B
04JD005,1,1968/02/27,2.12,B
04JD005,1,1968/02/28,2.1,B
04JD005,1,1968/02/29,2.07,B
04JD005,1,1968/03/01,2.04,B
04JD005,1,1968/03/02,2.01,B
04JD005,1,1968/03/03,1.98,B
04JD005,1,1968/03/04,1.95,B
04JD005,1,1968/03/05,1.93,B
